Source,Package name,Package ID,ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Editor(s)/Author(s),Available Online,Shortcut URL
S&T,eBook - Computer Science 2012,EBCCS12,9781597499484,PCI Compliance (Third Edition),2012,,,,Syngress,,03-Aug-2012,http://www.sciencedirect.com/science/book/9781597499484
S&T,eBook - Environmental Science 2012,EBCES12,9780123847058,Groundwater Science (Second Edition),2012,,,,Academic Press,"Fitts, Charles",03-Aug-2012,http://www.sciencedirect.com/science/book/9780123847058
S&T,eBook - Materials Science 2012,EBCMS12,9780080977447,Novel Carbon Adsorbents,2012,,,,Elsevier,J.M.D. Tasc?n,03-Aug-2012,http://www.sciencedirect.com/science/book/9780080977447
S&T,eBook - Computer Science 2012,EBCCS12,9781597499835,Keys to the Kingdom,2012,,,,Syngress,,03-Aug-2012,http://www.sciencedirect.com/science/book/9781597499835
S&T,eBook - Chemical Engineering 2012,EBCCE12,9780444563477,High-Pressure Fluid Phase Equilibria,2012,2212-0505,Supercritical Fluid Science and Technology,2C,Elsevier,"Ulrich K. Deiters, Thomas Kraska",03-Apr-2012,http://www.sciencedirect.com/science/book/9780444563477
S&T,eBook - Materials Science 2012,EBCMS12,9780080963570,Metal Nanoparticles and Nanoalloys,2012,1876-2778,Frontiers of Nanoscience,3C,Elsevier,"Roy L. Johnston, J.P. Wilcoxon",02-Mar-2012,http://www.sciencedirect.com/science/book/9780080963570
S&T,eBook - Mathematics 2012,EBCM12,9780444517470,Philosophy of Linguistics,2012,,Handbook of the Philosophy of Science,,North-Holland,"Gabbay, Dov M.",02-Feb-2012,http://www.sciencedirect.com/science/book/9780444517470
S&T,eBook - Computer Science 2012,EBCCS12,9780123850515,Writing Effective Business Rules,2011,,,,Morgan Kaufmann,Graham Witt,02-Feb-2012,http://www.sciencedirect.com/science/book/9780123850515
S&T,eBook - Chemical Engineering 2012,EBCCE12,9780444595058,11th International Symposium on Process Systems Engineering,2012,1570-7946,Computer Aided Chemical Engineering,31C,Elsevier,"Iftekhar A. Karimi, Rajagopalan Srinivasan",01-Aug-2012,http://www.sciencedirect.com/science/book/9780444595058
S&T,eBook - Engineering 2011,EBCE11,9780123749765,Medical Device Technologies,2011,,,,Academic Press,Gail Baura,30-Sep-2011,http://www.sciencedirect.com/science/book/9780123749765
